Month,CPGI,CPGI_YOY,CPGI_Comparative,Agricultural_Products_Index,API_YOY,API_Comparative,Mineral_Products_Index,MPI_YOY,MPI_Comparative,Kerosene_Power_Index,KPI_YOY,KPI_Comparative
2016年09月份,100.2,8.09%,1.53%,101.6,-0.20%,1.55%,101.5,15.08%,1.68%,98.6,18.51%,4.83%
2016年08月份,98.69,6.12%,0.82%,100.05,-2.01%,-1.35%,99.82,14.21%,2.40%,94.06,11.45%,2.57%
2016年07月份,97.89,4.92%,1.34%,101.42,-0.28%,-1.91%,97.48,11.28%,2.94%,91.7,6.38%,1.66%
2016年06月份,96.6,2.55%,0.42%,103.4,2.99%,-1.80%,94.7,6.64%,-0.32%,90.2,3.44%,1.23%
2016年05月份,96.2,1.80%,0.21%,105.3,5.19%,-1.50%,95,7.47%,-0.52%,89.1,3.24%,2.77%
2016年04月份,96,1.37%,1.16%,106.9,5.53%,0.09%,95.5,9.39%,2.25%,86.7,1.05%,1.40%
2016年03月份,94.9,0.32%,1.06%,106.8,7.01%,1.14%,93.4,6.74%,4.12%,85.5,0.23%,-0.23%
2016年02月份,93.9,-0.32%,0.54%,105.6,6.56%,0.86%,89.7,2.63%,1.70%,85.7,1.54%,0.23%
2016年01月份,93.4,-1.06%,0.76%,104.7,7.72%,1.26%,88.2,-0.34%,0.68%,85.5,-0.58%,0.71%
2015年12月份,92.7,-3.03%,0.43%,103.4,6.05%,2.07%,87.6,-2.99%,-0.57%,84.9,-5.46%,0.83%
2015年11月份,92.3,-4.25%,-0.32%,101.3,4.43%,0.00%,88.1,-3.08%,-0.79%,84.2,-9.36%,0.96%
2015年10月份,92.6,-4.44%,-0.11%,101.3,4.22%,-0.49%,88.8,-3.06%,0.68%,83.4,-12.03%,0.24%
2015年09月份,92.7,-5.06%,-0.32%,101.8,3.58%,-0.29%,88.2,-4.51%,0.92%,83.2,-13.45%,-1.42%
2015年08月份,93,-5.68%,-0.32%,102.1,2.41%,0.39%,87.4,-8.00%,-0.23%,84.4,-14.23%,-2.09%
2015年07月份,93.3,-5.85%,-0.96%,101.7,2.01%,1.29%,87.6,-9.97%,-1.35%,86.2,-13.28%,-1.15%
2015年06月份,94.2,-4.75%,-0.32%,100.4,0.30%,0.30%,88.8,-7.98%,0.45%,87.2,-11.92%,1.04%
2015年05月份,94.5,-4.16%,-0.21%,100.1,-0.60%,-1.18%,88.4,-8.01%,1.26%,86.3,-12.39%,0.58%
2015年04月份,94.7,-3.17%,0.11%,101.3,3.37%,1.50%,87.3,-8.49%,-0.23%,85.8,-11.55%,0.59%
2015年03月份,94.6,-3.08%,0.42%,99.8,-1.10%,0.71%,87.5,-7.50%,0.11%,85.3,-11.37%,1.07%
2015年02月份,94.2,-3.58%,-0.21%,99.1,-0.40%,1.95%,87.4,-8.77%,-1.24%,84.4,-12.72%,-1.86%
