Month,CCI,CCI_YOY,CCI_Comparative,CSI,CSI_YOY,CSI_Comparative,CEI,CEI_YOY,CEI_Comparative
2012年06月份,99.3,-8.14%,-4.68%,93.3,-9.59%,-3.95%,103.2,-7.36%,-5.21%
2012年05月份,104.18,-1.53%,1.14%,97.14,-7.13%,2.58%,108.87,2.13%,0.34%
2012年04月份,103,-3.38%,2.95%,94.7,-9.90%,4.93%,108.5,0.93%,1.81%
2012年03月份,100.04,-7.02%,-4.73%,90.25,-13.84%,-6.14%,106.57,-2.52%,-3.93%
2012年02月份,105.02,5.42%,1.05%,96.15,-3.39%,0.34%,110.93,11.32%,1.48%
2012年01月份,103.92,4.02%,3.44%,95.82,-3.99%,2.83%,109.31,9.31%,3.79%
2011年12月份,100.46,0.06%,3.53%,93.18,-6.91%,3.52%,105.32,4.69%,3.55%
2011年11月份,97.03,-5.69%,-3.42%,90.01,-12.18%,-1.95%,101.71,-1.35%,-4.27%
2011年10月份,100.47,-3.16%,-2.81%,91.8,-10.95%,-3.52%,106.25,2.03%,-2.39%
2011年09月份,103.37,-0.70%,-1.55%,95.15,-8.02%,-1.81%,108.85,4.18%,-1.40%
2011年08月份,105,-2.14%,-0.57%,96.9,-8.76%,0.73%,110.4,2.32%,-1.25%
2011年07月份,105.6,-2.04%,-2.31%,96.2,-9.59%,-6.78%,111.8,2.95%,0.36%
2011年06月份,108.1,-0.37%,2.17%,103.2,-4.27%,-1.34%,111.4,2.30%,4.50%
2011年05月份,105.8,-2.04%,-0.75%,104.6,-2.88%,-0.48%,106.6,-1.48%,-0.84%
2011年04月份,106.6,0.00%,-0.93%,105.1,-1.04%,0.33%,107.5,0.66%,-1.67%
2011年03月份,107.6,-0.28%,8.01%,104.75,-2.56%,5.26%,109.32,1.04%,9.71%
2011年02月份,99.62,-4.39%,-0.28%,99.52,-4.03%,-0.28%,99.65,-4.64%,-0.35%
2011年01月份,99.9,-4.58%,-0.50%,99.8,-4.77%,-0.30%,100,-4.40%,-0.60%
2010年12月份,100.4,-3.39%,-2.42%,100.1,-3.54%,-2.33%,100.6,-3.25%,-2.43%
2010年11月份,102.89,-0.43%,-0.83%,102.49,-1.26%,-0.58%,103.1,0.11%,-1.00%
2010年10月份,103.75,0.52%,-0.34%,103.09,-0.91%,-0.34%,104.14,1.46%,-0.33%
2010年09月份,104.1,1.27%,-2.98%,103.44,-0.23%,-2.60%,104.49,2.25%,-3.16%
2010年08月份,107.3,4.48%,-0.46%,106.2,2.31%,-0.19%,107.9,5.83%,-0.64%
