Month,Nation_Current_Month,Nation_YOY,Nation_Comparative_Rate,Nation_Total,City_Current_Month,City_YOY,City_Comparative_Rate,City_Total,Country_Current_Month,Country_YOY,Country_Comparative_Rate,Country_Total
2009年11月份,100.56,0.60%,0.30%,99.08,100.4,0.40%,0.30%,98.91,100.93,0.90%,0.40%,99.47
2009年10月份,99.47,-0.50%,-0.10%,98.93,99.3,-0.70%,-0.10%,98.76,99.87,-0.10%,-0.10%,99.33
2009年09月份,99.21,-0.80%,0.40%,98.87,99.11,-0.90%,0.40%,98.7,99.44,-0.60%,0.60%,99.27
2009年08月份,98.8,-1.20%,0.50%,98.83,98.72,-1.30%,0.40%,98.65,98.98,-1.00%,0.60%,99.25
2009年07月份,98.19,-1.80%,0.00%,98.83,98.1,-1.90%,0.00%,98.64,98.42,-1.60%,0.10%,99.28
2009年06月份,98.3,-1.70%,-0.50%,98.94,98.22,-1.80%,-0.50%,98.74,98.58,-1.40%,-0.40%,99.43
2009年05月份,98.63,-1.40%,-0.30%,99.06,98.47,-1.50%,-0.30%,98.84,99,-1.00%,-0.30%,99.6
2009年04月份,98.5,-1.50%,-0.20%,99.17,98.27,-1.70%,-0.20%,98.93,99.03,-1.00%,-0.20%,99.75
2009年03月份,98.83,-1.20%,-0.30%,99.4,98.62,-1.40%,-0.30%,99.15,99.34,-0.70%,-0.40%,99.99
2009年02月份,98.44,-1.60%,0.00%,99.68,98.14,-1.90%,0.00%,99.41,99.16,-0.80%,0.00%,100.32
2009年01月份,100.95,1.00%,0.90%,100.95,100.72,0.70%,1.00%,100.72,101.5,1.50%,0.90%,101.5
2008年12月份,101.2,1.20%,-0.20%,105.86,100.93,0.90%,-0.30%,105.58,101.86,1.90%,-0.10%,106.5
2008年11月份,102.43,2.40%,-0.80%,106.3,102.22,2.20%,-0.80%,106.02,102.93,2.90%,-0.70%,106.93
2008年10月份,103.97,4.00%,-0.30%,106.7,103.71,3.70%,-0.30%,106.41,104.58,4.60%,-0.50%,107.35
2008年09月份,104.64,4.60%,0.00%,107.01,104.38,4.40%,0.00%,106.72,105.28,5.30%,0.10%,107.66
2008年08月份,104.9,4.90%,-0.10%,107.32,104.69,4.70%,-0.20%,107.02,105.42,5.40%,0.00%,107.97
2008年07月份,106.3,6.30%,0.10%,107.67,106.07,6.10%,0.10%,107.36,106.85,6.80%,0.20%,108.35
2008年06月份,107.08,7.10%,-0.20%,107.9,106.76,6.80%,-0.20%,107.58,107.8,7.80%,0.00%,108.6
2008年05月份,107.72,7.70%,-0.40%,108.07,107.33,7.30%,-0.50%,107.74,108.55,8.50%,-0.30%,108.76
2008年04月份,108.48,8.50%,0.10%,108.15,108.11,8.10%,0.10%,107.84,109.27,9.30%,0.10%,108.81
2008年03月份,108.31,8.30%,-0.70%,108.04,107.97,8.00%,-0.80%,107.75,109.03,9.00%,-0.50%,108.66
2008年02月份,108.74,8.70%,2.60%,107.92,108.5,8.50%,2.70%,107.64,109.23,9.20%,2.40%,108.48
2008年01月份,107.08,7.10%,1.20%,107.08,106.78,6.80%,1.20%,106.78,107.72,7.70%,1.20%,107.72
