Month,Current_Month,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY,
2009年12月份,12610,17.54%,11.21%,125342.7,15.54%,
2009年11月份,11339,15.81%,-3.23%,112732.7,15.32%,
2009年10月份,11717.6,16.21%,7.37%,101393.7,15.26%,
2009年09月份,10912.8,15.52%,7.88%,89676.1,15.14%,
2009年08月份,10115.6,15.40%,1.80%,78763.3,15.10%,
2009年07月份,9936.5,15.20%,-0.05%,68647.7,15.00%,
2009年06月份,9941.6,15.00%,-0.87%,58711.2,15.00%,
2009年05月份,10028.4,15.20%,7.33%,48769.6,15.00%,
2009年04月份,9343.2,14.80%,0.27%,38741.2,15.00%,
2009年03月份,9317.6,14.70%,-0.07%,29398,15.00%,
2009年02月份,9323.8,11.60%,-13.32%,20080.4,15.20%,
2009年01月份,10756.6,18.50%,0.26%,10756.6,18.50%,
2008年12月份,10728.5,19.00%,9.58%,108487.7,21.60%,
2008年11月份,9790.8,20.80%,-2.90%,97759.2,21.90%,
2008年10月份,10082.7,22.00%,6.73%,87968.4,22.00%,
2008年09月份,9446.5,23.20%,7.74%,77885.7,22.00%,
2008年08月份,8767.7,23.20%,1.61%,68439.2,21.90%,
2008年07月份,8628.8,23.30%,-0.15%,59671.5,21.70%,
2008年06月份,8642,23.00%,-0.71%,51042.7,21.40%,
2008年05月份,8703.5,21.60%,6.90%,42400.7,21.10%,
2008年04月份,8142,22.00%,0.23%,33697.2,21.00%,
2008年03月份,8123.2,21.50%,-2.77%,25555.2,20.60%,
2008年02月份,8354.7,19.10%,-7.96%,17432,20.20%,
2008年01月份,9077.3,21.20%,0.69%,9077.3,21.20%,
